author_id,comment_author
1,rosieh2
2,asgoodasitgets
3,Mendoza
4,IndependentBrain
5,futdashukup
6,Oldhermit
7,Bogwolf
8,MrPiggles
9,BobJanova
10,inappropriate
11,Soarer
12,metalvendetta
13,dissidentstockbroker
14,Persianwar
15,kristinekochanski
16,GuidoFawkes
17,DisaffectedYouth
18,truecomrade
19,PaulJB
20,shaggyscot
21,vitaelampada
22,Callaig
23,ScaaarBeeek
24,thetrashheap
25,chrish
26,IanMiddx3
27,Zagradotryad
28,Hoppolocos
29,J7Sue
30,sfk2
31,MickGJ
32,ClarinoI
33,jamted
34,conservative77
35,imperium
36,bodge
37,Amadeus37
38,MetalDad
39,AlbertaRabbit
40,sheercommonsense
41,bartelbe
42,BluebellWood
43,Bamboo13
44,escapethegreyzone
45,Gelatelli
46,Brownly
47,comment_author
48,dfic1999
49,aldensaunt
50,dmckm
51,Icarntbelieveit
52,owenduffy
53,Niloufas
54,OstanesAlchemy
55,dyatel42
56,beyondparody
57,OddFellow
58,IReadTheArticle
59,mrangryfromtheheath
60,MJC48
61,microfon
62,northernlout
63,variation31
64,Bluetractor
65,no2theeu
66,thea1mighty
67,sojomo
68,zzz62zzz
69,CannyRogue
70,VSLVSL
71,philstyle
72,moraig
73,DougMcCrae
74,FuriousThomas
75,lancevoix
76,Rainborough
77,Helen121
78,Imageark
79,Gitfinger
80,DrJazz
81,jarralad
82,iamnotwise
83,gab3xoxford
84,Humanoid1
85,GJSmith
86,bbeth
87,LondonPhil
88,experson
89,Finisterre
90,scgarage
91,guardianmakesmesick
92,NTEightySix
93,BigPants127
94,uglyfruit
95,unicornhouse
96,BeckyP
97,optimist99
98,oldefarte
99,Feathernest
100,hoddle1
101,bluebellnutter
102,JezJez
103,twincam
104,thegoodcat
105,Oldy
106,Izzybe
107,JonDess
108,Jazzactivist
109,Dynalive
110,kaffy
111,cbonn
112,cambayne
113,mmmjames
114,VentalaRaya
115,Trilobyte
116,ozzydave
117,Criticulus
118,blackfirscharlie
119,Ocoonassa
120,Rholburn
121,Conantheballbaering
122,ranelagh75
123,Strummered
124,okoyel
125,Tonytoday
126,hadenuff
127,RobDee
128,lozinger
129,Mediamogul
130,Katrin3
131,NoneTooClever
132,angeldearie
133,Lightfinger
134,panpies
135,oommph
136,knullaibastu
137,nuisverige
138,crinklyoldgit
139,lordflyte
140,BeltwayBandit
141,sonofwebcore
142,MrsD77
143,barliechooker
144,princey
145,diabolomenthe
146,teacup333
147,sproutforth
148,Cicadafamiliar
149,imjakethepeg
150,R042
151,Brugesbear
152,torytoryband
153,thameschambers
154,kizbot
155,Fungolo33
156,LV09
157,pdbnb85
158,AlfaRomeo
159,holzy
160,Rachelthedigger
161,carrot77
162,Loumo
163,julieoakley
164,HelenSimpson
165,ThePinchOfSalt
166,stpauli
167,SnakePlissken
168,TheGrinch1897
169,mookie
170,ChloeLawrence
171,Zangmo
172,LorieKellogg
173,gorillainexile
174,pollystyrene
175,Bliad
176,MontanaWildhack
177,Sarabina
178,crunchycat
179,lin2i
180,squiggle
181,bugbear6502
182,Talila
183,3genders
184,madcatx2
185,fionam
186,kennedy008
187,cerealcat
188,RedderMachine
189,Idisliketea
190,sombrerero
191,RonJB
192,pinkpiranha
193,farfrom
194,chasbot1
195,PingYon
196,jennigan
197,Fulhamish
198,IGiveUp
199,verrochio
200,ThisIsMyEighthName
201,MsBlancheHudson
202,BMerryweather
203,StrokerAce
204,navajoknows
205,mrsfleur
206,AneliyaEssex
207,MyFlippinValentine
208,ifshespins
209,Diodorus
210,mikedow
211,PenguinLost
212,StuartWalton
213,MECAS
214,HalifaxEichel
215,ineedyourlovineyes
216,AnneDon
217,MarnaNightingale
218,schuey100
219,Eastleighguy
220,althebald
221,timesnewroman
222,kelpie03
223,DanLeno
224,Lauren70
225,Novelist
226,yahyah
227,AMcGrath
228,coffeetable
229,FuturePM
230,killerontheroad
231,IsobelGlenelg
232,2Springers
233,grumpyhatlady
234,enoughnow
235,masons
236,haggzy
237,peterainbow
238,ivanna
239,jazzdrum
240,Kogvos2
241,romannosejob
242,Comrad
243,madasballoons
244,Ecotosh
245,SunnyintheGloom
246,ennisfree
247,hitsoout
248,Cosmonaut
249,HunterKiller
250,Manningtreeimp
251,redmary1
252,EllisB
253,NoToTheConDems
254,Tomjam
255,LaBoheme11
256,GenHernandez
257,SocialEngineer
258,RochdalePioneers
259,LSE2002
260,Hoof1
261,JEREMIAH77
262,actonblue
263,wotever
264,angerona
265,stonecoldandmad
266,princesschipchops
267,blueporcupine
268,Phos4
269,anewday
270,paulmckeown
271,londonisporous
272,mlpZHd4MvS1gkVUW
273,anenome6
274,JohnSalmond
275,Loisir
276,maggieTee
277,dandydon
278,likelike
279,Gwledig
280,Valjean
281,RecipeJunkie
282,danlepard
283,ProgRock
284,Bielii
285,aceavila
286,Mrsslinky
287,Kezia10
288,VickyVee
289,ormskirkgirl
290,westhamdan
291,sezohanim
292,osbournecox
293,SpangleJ
294,1723985
295,LoveAndProtectEarth
296,HeleneM
297,marcospurs
298,steviesteveo
299,calmeilles
300,MontyComment
301,Citizen0
302,MG62
303,MISCELLANEOUS
304,PatriciaPJ
305,zenithmaster
306,theotherlondon
307,aguers
308,jlpcoach
309,Trailermouse
310,owaingr
311,Mudhutter
312,RonanPt
313,lobster1
314,Scoutspouse
